,Vis--Vis,Vis--SomMot,Vis--DorsAttn,Vis--SalVentAttn,Vis--Limbic,Vis--Cont,Vis--Default,SomMot--Vis,SomMot--SomMot,SomMot--DorsAttn,SomMot--SalVentAttn,SomMot--Limbic,SomMot--Cont,SomMot--Default,DorsAttn--Vis,DorsAttn--SomMot,DorsAttn--DorsAttn,DorsAttn--SalVentAttn,DorsAttn--Limbic,DorsAttn--Cont,DorsAttn--Default,SalVentAttn--Vis,SalVentAttn--SomMot,SalVentAttn--DorsAttn,SalVentAttn--SalVentAttn,SalVentAttn--Limbic,SalVentAttn--Cont,SalVentAttn--Default,Limbic--Vis,Limbic--SomMot,Limbic--DorsAttn,Limbic--SalVentAttn,Limbic--Limbic,Limbic--Cont,Limbic--Default,Cont--Vis,Cont--SomMot,Cont--DorsAttn,Cont--SalVentAttn,Cont--Limbic,Cont--Cont,Cont--Default,Default--Vis,Default--SomMot,Default--DorsAttn,Default--SalVentAttn,Default--Limbic,Default--Cont,Default--Default
fold30,0.3016448803343302,0.08611059725862615,0.2987507332038006,0.2828191603693787,0.2669770633673328,0.2897850515172615,0.38975102088426195,0.08611059725862615,0.3150259326661933,0.366516556396816,0.32313730331283486,0.25850392653398807,0.39707798663096117,0.33568048642578185,0.2987507332038006,0.366516556396816,0.19729061864244868,0.3055277651565471,0.37983260414638176,-0.08351496865248384,0.36827142412240016,0.2828191603693787,0.32313730331283486,0.3055277651565471,0.22299417555669765,0.35284519304898526,0.30440843251364946,0.2964369370339789,0.2669770633673328,0.25850392653398807,0.37983260414638176,0.35284519304898526,0.39699577869736885,0.3548793078205391,0.3477476463438801,0.2897850515172615,0.39707798663096117,-0.08351496865248384,0.30440843251364946,0.3548793078205391,0.2732792001427451,0.3291183865066597,0.38975102088426195,0.33568048642578185,0.36827142412240016,0.2964369370339789,0.3477476463438801,0.3291183865066597,0.26393009164997017
fold31,-0.036552576349759655,0.0005277895730779375,0.05322268758382352,0.006732612237866719,-0.12305033285217723,0.016896374745369546,0.10352907061854505,0.0005277895730779375,0.285210310673954,0.32092586253189875,0.2587925907479535,0.21892746300740426,0.2747876668470049,0.25922034846690306,0.05322268758382352,0.32092586253189875,0.19634055011129517,0.1872256491965484,0.06789614236649141,-0.02527908597842628,0.17452147608359825,0.006732612237866719,0.2587925907479535,0.1872256491965484,0.15897480751082224,0.22394601033309622,0.14805839168390275,0.22091611414211834,-0.12305033285217723,0.21892746300740426,0.06789614236649141,0.22394601033309622,0.22270556034660227,-0.02120045526922729,0.11537372296178251,0.016896374745369546,0.2747876668470049,-0.02527908597842628,0.14805839168390275,-0.02120045526922729,0.010040342621761672,0.16308238741577735,0.10352907061854505,0.25922034846690306,0.17452147608359825,0.22091611414211834,0.11537372296178251,0.16308238741577735,0.2183635585573272
fold32,0.1801933584433643,0.01563684708421483,0.27744515034320666,0.13332454277681688,0.035100953680540045,0.23241258958100589,0.24441388878284123,0.01563684708421483,0.09987071826787447,0.23265641980885324,0.20215951657602121,-0.015502471973170874,0.15206982675844502,0.10630383524369996,0.27744515034320666,0.23265641980885324,0.21446108946726322,0.09635312974660475,0.06311608133018007,0.1388440003209271,0.17640270888126863,0.13332454277681688,0.20215951657602121,0.09635312974660475,0.2588535055644609,0.14924090870086762,0.10885605958618934,0.1509564208168864,0.035100953680540045,-0.015502471973170874,0.06311608133018007,0.14924090870086762,0.2732665836383162,0.02004006858002228,0.20028728698978063,0.23241258958100589,0.15206982675844502,0.1388440003209271,0.10885605958618934,0.02004006858002228,0.13917088413340717,0.1797804102065308,0.24441388878284123,0.10630383524369996,0.17640270888126863,0.1509564208168864,0.20028728698978063,0.1797804102065308,0.25397934328007754
fold33,0.3374855408978826,0.10507993756624598,0.06921352358431995,0.06781763568587529,0.27403738109292747,0.14478239504489981,0.28248848891853817,0.10507993756624598,0.23418533848929274,0.1994668039615097,0.16523943043521336,0.07770370673770202,0.23988192027851202,0.2524749898626368,0.06921352358431995,0.1994668039615097,0.06537123608084079,0.21062830092230375,0.16035807862832777,0.3085009789029787,0.31063095192951024,0.06781763568587529,0.16523943043521336,0.21062830092230375,0.2585531803192366,0.11142096449258762,0.3334942985570075,0.3096187291953667,0.27403738109292747,0.07770370673770202,0.16035807862832777,0.11142096449258762,0.3093015058730177,0.17943667999054688,0.08043474356837124,0.14478239504489981,0.23988192027851202,0.3085009789029787,0.3334942985570075,0.17943667999054688,0.29572874890877765,0.2733835368559195,0.28248848891853817,0.2524749898626368,0.31063095192951024,0.3096187291953667,0.08043474356837124,0.2733835368559195,0.3809278808530994
fold34,-0.21858427449837625,0.22864061251273693,0.3746105882865155,0.3222080154632341,0.04993875184067115,0.25611081825820525,0.35281997923503516,0.22864061251273693,-0.01230839936634392,0.13969923173739462,0.04963153584211205,0.15026017328329486,0.11310007555484695,0.3047736325653288,0.3746105882865155,0.13969923173739462,0.19124594045575954,0.15003360155826964,0.1801216184692767,0.1635108353891326,0.21691503878599247,0.3222080154632341,0.04963153584211205,0.15003360155826964,0.10637484859688347,0.2985336030160421,0.13943012586276463,0.23762155648612593,0.04993875184067115,0.15026017328329486,0.1801216184692767,0.2985336030160421,0.3750059017538426,0.30614154777471786,0.3680522441399321,0.25611081825820525,0.11310007555484695,0.1635108353891326,0.13943012586276463,0.30614154777471786,0.13551692445568664,0.19562079015123873,0.35281997923503516,0.3047736325653288,0.21691503878599247,0.23762155648612593,0.3680522441399321,0.19562079015123873,0.17110776090723714
fold35,0.16504673159684527,-0.07577317360440897,0.17309629290856188,0.12311330348221451,0.015172081129053161,0.130447339359855,0.22866663044097563,-0.07577317360440897,0.18345890643150248,0.17750297421945713,0.15045363359134806,-0.056494587480913225,0.047274446559851434,0.2761724771897657,0.17309629290856188,0.17750297421945713,0.26197351561669613,0.19764538243528357,-0.05986216589547534,0.22645022933669381,0.1993547049272272,0.12311330348221451,0.15045363359134806,0.19764538243528357,0.10656951941577868,0.1090547313586221,0.16023775811609095,0.20777484923910522,0.015172081129053161,-0.056494587480913225,-0.05986216589547534,0.1090547313586221,0.27672296914157796,-0.025000872721407916,0.018267654162581595,0.130447339359855,0.047274446559851434,0.22645022933669381,0.16023775811609095,-0.025000872721407916,0.17033907272233492,0.12666216391968865,0.22866663044097563,0.2761724771897657,0.1993547049272272,0.20777484923910522,0.018267654162581595,0.12666216391968865,0.24818262476156971
fold36,0.12322042614319804,0.1523719179908715,0.23334399505406686,0.2986223643861826,0.20263617569305423,0.3360390973409395,0.2543881994426099,0.1523719179908715,0.16117732347951097,0.115527873181641,0.17816755998111325,0.10019662194194191,0.16334091677337537,0.13193063917088924,0.23334399505406686,0.115527873181641,-0.0626016420436436,0.20150564949140376,0.22473107783009247,0.06416276104737241,0.15268389909687569,0.2986223643861826,0.17816755998111325,0.20150564949140376,0.1738503076574164,0.19675188037735347,0.16753736680752554,0.18260752945517994,0.20263617569305423,0.10019662194194191,0.22473107783009247,0.19675188037735347,0.33722960926774237,0.27558318423084993,0.2200738430035155,0.3360390973409395,0.16334091677337537,0.06416276104737241,0.16753736680752554,0.27558318423084993,0.19803592481477336,0.22546175241488634,0.2543881994426099,0.13193063917088924,0.15268389909687569,0.18260752945517994,0.2200738430035155,0.22546175241488634,0.12658224990506306
fold37,0.1561302370825478,0.28050828299923014,0.23376842400805084,0.3139156598304847,0.29795760366295493,0.36616590374876995,0.414504137410122,0.28050828299923014,0.03672841892217584,0.10585273686645663,0.11631026498186084,0.17256122014372072,-0.0969532259951599,0.11969556132338403,0.23376842400805084,0.10585273686645663,0.28385665565617507,0.14844419063206554,0.1199880674275592,0.20652631453649525,0.32761981826379216,0.3139156598304847,0.11631026498186084,0.14844419063206554,0.26081131743437586,0.19818038833105828,0.20251201240932312,0.14916080123662184,0.29795760366295493,0.17256122014372072,0.1199880674275592,0.19818038833105828,0.3552470404432915,0.060235759655896164,0.21923199314876335,0.36616590374876995,-0.0969532259951599,0.20652631453649525,0.20251201240932312,0.060235759655896164,0.22148163294882026,0.21032399298763602,0.414504137410122,0.11969556132338403,0.32761981826379216,0.14916080123662184,0.21923199314876335,0.21032399298763602,0.3531528850198446
fold38,0.35647569747052954,0.2685688705101244,0.3620642579323438,0.3632639615165852,0.3592309281231453,0.25877032274814477,0.32732107812861927,0.2685688705101244,0.2030183785462544,0.19460252630195804,0.19431513492670843,0.3056252539256967,0.09783783909802454,0.11224914705385274,0.3620642579323438,0.19460252630195804,0.24072176099167344,0.05702491405863441,0.22776293976123643,0.26438612572164816,0.29824976894285027,0.3632639615165852,0.19431513492670843,0.05702491405863441,0.014874077237605117,0.3025013576584202,0.06948145674347046,0.03698634184156559,0.3592309281231453,0.3056252539256967,0.22776293976123643,0.3025013576584202,0.3302337074119688,0.18947681608856518,-0.031684019518349496,0.25877032274814477,0.09783783909802454,0.26438612572164816,0.06948145674347046,0.18947681608856518,0.21672187099425583,0.3289013438107199,0.32732107812861927,0.11224914705385274,0.29824976894285027,0.03698634184156559,-0.031684019518349496,0.3289013438107199,0.3029979748988423
fold39,0.08354474050061078,0.38477627653099794,0.31093937996058185,0.38334565342498833,-0.018911042509973636,0.4866929016595717,0.4103086880608906,0.38477627653099794,0.38045339587179033,0.40575416815198856,0.3219750432494147,0.2919326320408884,0.3463412748159443,0.34646603006692833,0.31093937996058185,0.40575416815198856,0.4384878535758252,0.4561260037956846,0.25055226614144277,0.4343874568821089,0.37229815172330133,0.38334565342498833,0.3219750432494147,0.4561260037956846,0.35184718181764024,0.39371355646442974,0.4413170358158218,0.3800455063648248,-0.018911042509973636,0.2919326320408884,0.25055226614144277,0.39371355646442974,0.5356702850593539,0.27046331223825665,0.13014550162524832,0.4866929016595717,0.3463412748159443,0.4343874568821089,0.4413170358158218,0.27046331223825665,0.4046717958672838,0.3413362883543431,0.4103086880608906,0.34646603006692833,0.37229815172330133,0.3800455063648248,0.13014550162524832,0.3413362883543431,0.2533463128010095
fold40,0.3016448803343302,0.08611059725862615,0.2987507332038006,0.2828191603693787,0.2669770633673328,0.2897850515172615,0.38975102088426195,0.08611059725862615,0.3150259326661933,0.366516556396816,0.32313730331283486,0.25850392653398807,0.39707798663096117,0.33568048642578185,0.2987507332038006,0.366516556396816,0.19729061864244868,0.3055277651565471,0.37983260414638176,-0.08351496865248384,0.36827142412240016,0.2828191603693787,0.32313730331283486,0.3055277651565471,0.22299417555669765,0.35284519304898526,0.30440843251364946,0.2964369370339789,0.2669770633673328,0.25850392653398807,0.37983260414638176,0.35284519304898526,0.39699577869736885,0.3548793078205391,0.3477476463438801,0.2897850515172615,0.39707798663096117,-0.08351496865248384,0.30440843251364946,0.3548793078205391,0.2732792001427451,0.3291183865066597,0.38975102088426195,0.33568048642578185,0.36827142412240016,0.2964369370339789,0.3477476463438801,0.3291183865066597,0.26393009164997017
fold41,-0.036552576349759655,0.0005277895730779375,0.05322268758382352,0.006732612237866719,-0.12305033285217723,0.016896374745369546,0.10352907061854505,0.0005277895730779375,0.285210310673954,0.32092586253189875,0.2587925907479535,0.21892746300740426,0.2747876668470049,0.25922034846690306,0.05322268758382352,0.32092586253189875,0.19634055011129517,0.1872256491965484,0.06789614236649141,-0.02527908597842628,0.17452147608359825,0.006732612237866719,0.2587925907479535,0.1872256491965484,0.15897480751082224,0.22394601033309622,0.14805839168390275,0.22091611414211834,-0.12305033285217723,0.21892746300740426,0.06789614236649141,0.22394601033309622,0.22270556034660227,-0.02120045526922729,0.11537372296178251,0.016896374745369546,0.2747876668470049,-0.02527908597842628,0.14805839168390275,-0.02120045526922729,0.010040342621761672,0.16308238741577735,0.10352907061854505,0.25922034846690306,0.17452147608359825,0.22091611414211834,0.11537372296178251,0.16308238741577735,0.2183635585573272
fold42,0.1801933584433643,0.01563684708421483,0.27744515034320666,0.13332454277681688,0.035100953680540045,0.23241258958100589,0.24441388878284123,0.01563684708421483,0.09987071826787447,0.23265641980885324,0.20215951657602121,-0.015502471973170874,0.15206982675844502,0.10630383524369996,0.27744515034320666,0.23265641980885324,0.21446108946726322,0.09635312974660475,0.06311608133018007,0.1388440003209271,0.17640270888126863,0.13332454277681688,0.20215951657602121,0.09635312974660475,0.2588535055644609,0.14924090870086762,0.10885605958618934,0.1509564208168864,0.035100953680540045,-0.015502471973170874,0.06311608133018007,0.14924090870086762,0.2732665836383162,0.02004006858002228,0.20028728698978063,0.23241258958100589,0.15206982675844502,0.1388440003209271,0.10885605958618934,0.02004006858002228,0.13917088413340717,0.1797804102065308,0.24441388878284123,0.10630383524369996,0.17640270888126863,0.1509564208168864,0.20028728698978063,0.1797804102065308,0.25397934328007754
fold43,0.3374855408978826,0.10507993756624598,0.06921352358431995,0.06781763568587529,0.27403738109292747,0.14478239504489981,0.28248848891853817,0.10507993756624598,0.23418533848929274,0.1994668039615097,0.16523943043521336,0.07770370673770202,0.23988192027851202,0.2524749898626368,0.06921352358431995,0.1994668039615097,0.06537123608084079,0.21062830092230375,0.16035807862832777,0.3085009789029787,0.31063095192951024,0.06781763568587529,0.16523943043521336,0.21062830092230375,0.2585531803192366,0.11142096449258762,0.3334942985570075,0.3096187291953667,0.27403738109292747,0.07770370673770202,0.16035807862832777,0.11142096449258762,0.3093015058730177,0.17943667999054688,0.08043474356837124,0.14478239504489981,0.23988192027851202,0.3085009789029787,0.3334942985570075,0.17943667999054688,0.29572874890877765,0.2733835368559195,0.28248848891853817,0.2524749898626368,0.31063095192951024,0.3096187291953667,0.08043474356837124,0.2733835368559195,0.3809278808530994
fold44,-0.21858427449837625,0.22864061251273693,0.3746105882865155,0.3222080154632341,0.04993875184067115,0.25611081825820525,0.35281997923503516,0.22864061251273693,-0.01230839936634392,0.13969923173739462,0.04963153584211205,0.15026017328329486,0.11310007555484695,0.3047736325653288,0.3746105882865155,0.13969923173739462,0.19124594045575954,0.15003360155826964,0.1801216184692767,0.1635108353891326,0.21691503878599247,0.3222080154632341,0.04963153584211205,0.15003360155826964,0.10637484859688347,0.2985336030160421,0.13943012586276463,0.23762155648612593,0.04993875184067115,0.15026017328329486,0.1801216184692767,0.2985336030160421,0.3750059017538426,0.30614154777471786,0.3680522441399321,0.25611081825820525,0.11310007555484695,0.1635108353891326,0.13943012586276463,0.30614154777471786,0.13551692445568664,0.19562079015123873,0.35281997923503516,0.3047736325653288,0.21691503878599247,0.23762155648612593,0.3680522441399321,0.19562079015123873,0.17110776090723714
fold45,0.16504673159684527,-0.07577317360440897,0.17309629290856188,0.12311330348221451,0.015172081129053161,0.130447339359855,0.22866663044097563,-0.07577317360440897,0.18345890643150248,0.17750297421945713,0.15045363359134806,-0.056494587480913225,0.047274446559851434,0.2761724771897657,0.17309629290856188,0.17750297421945713,0.26197351561669613,0.19764538243528357,-0.05986216589547534,0.22645022933669381,0.1993547049272272,0.12311330348221451,0.15045363359134806,0.19764538243528357,0.10656951941577868,0.1090547313586221,0.16023775811609095,0.20777484923910522,0.015172081129053161,-0.056494587480913225,-0.05986216589547534,0.1090547313586221,0.27672296914157796,-0.025000872721407916,0.018267654162581595,0.130447339359855,0.047274446559851434,0.22645022933669381,0.16023775811609095,-0.025000872721407916,0.17033907272233492,0.12666216391968865,0.22866663044097563,0.2761724771897657,0.1993547049272272,0.20777484923910522,0.018267654162581595,0.12666216391968865,0.24818262476156971
fold46,0.12322042614319804,0.1523719179908715,0.23334399505406686,0.2986223643861826,0.20263617569305423,0.3360390973409395,0.2543881994426099,0.1523719179908715,0.16117732347951097,0.115527873181641,0.17816755998111325,0.10019662194194191,0.16334091677337537,0.13193063917088924,0.23334399505406686,0.115527873181641,-0.0626016420436436,0.20150564949140376,0.22473107783009247,0.06416276104737241,0.15268389909687569,0.2986223643861826,0.17816755998111325,0.20150564949140376,0.1738503076574164,0.19675188037735347,0.16753736680752554,0.18260752945517994,0.20263617569305423,0.10019662194194191,0.22473107783009247,0.19675188037735347,0.33722960926774237,0.27558318423084993,0.2200738430035155,0.3360390973409395,0.16334091677337537,0.06416276104737241,0.16753736680752554,0.27558318423084993,0.19803592481477336,0.22546175241488634,0.2543881994426099,0.13193063917088924,0.15268389909687569,0.18260752945517994,0.2200738430035155,0.22546175241488634,0.12658224990506306
fold47,0.1561302370825478,0.28050828299923014,0.23376842400805084,0.3139156598304847,0.29795760366295493,0.36616590374876995,0.414504137410122,0.28050828299923014,0.03672841892217584,0.10585273686645663,0.11631026498186084,0.17256122014372072,-0.0969532259951599,0.11969556132338403,0.23376842400805084,0.10585273686645663,0.28385665565617507,0.14844419063206554,0.1199880674275592,0.20652631453649525,0.32761981826379216,0.3139156598304847,0.11631026498186084,0.14844419063206554,0.26081131743437586,0.19818038833105828,0.20251201240932312,0.14916080123662184,0.29795760366295493,0.17256122014372072,0.1199880674275592,0.19818038833105828,0.3552470404432915,0.060235759655896164,0.21923199314876335,0.36616590374876995,-0.0969532259951599,0.20652631453649525,0.20251201240932312,0.060235759655896164,0.22148163294882026,0.21032399298763602,0.414504137410122,0.11969556132338403,0.32761981826379216,0.14916080123662184,0.21923199314876335,0.21032399298763602,0.3531528850198446
fold48,0.35647569747052954,0.2685688705101244,0.3620642579323438,0.3632639615165852,0.3592309281231453,0.25877032274814477,0.32732107812861927,0.2685688705101244,0.2030183785462544,0.19460252630195804,0.19431513492670843,0.3056252539256967,0.09783783909802454,0.11224914705385274,0.3620642579323438,0.19460252630195804,0.24072176099167344,0.05702491405863441,0.22776293976123643,0.26438612572164816,0.29824976894285027,0.3632639615165852,0.19431513492670843,0.05702491405863441,0.014874077237605117,0.3025013576584202,0.06948145674347046,0.03698634184156559,0.3592309281231453,0.3056252539256967,0.22776293976123643,0.3025013576584202,0.3302337074119688,0.18947681608856518,-0.031684019518349496,0.25877032274814477,0.09783783909802454,0.26438612572164816,0.06948145674347046,0.18947681608856518,0.21672187099425583,0.3289013438107199,0.32732107812861927,0.11224914705385274,0.29824976894285027,0.03698634184156559,-0.031684019518349496,0.3289013438107199,0.3029979748988423
fold49,0.08354474050061078,0.38477627653099794,0.31093937996058185,0.38334565342498833,-0.018911042509973636,0.4866929016595717,0.4103086880608906,0.38477627653099794,0.38045339587179033,0.40575416815198856,0.3219750432494147,0.2919326320408884,0.3463412748159443,0.34646603006692833,0.31093937996058185,0.40575416815198856,0.4384878535758252,0.4561260037956846,0.25055226614144277,0.4343874568821089,0.37229815172330133,0.38334565342498833,0.3219750432494147,0.4561260037956846,0.35184718181764024,0.39371355646442974,0.4413170358158218,0.3800455063648248,-0.018911042509973636,0.2919326320408884,0.25055226614144277,0.39371355646442974,0.5356702850593539,0.27046331223825665,0.13014550162524832,0.4866929016595717,0.3463412748159443,0.4343874568821089,0.4413170358158218,0.27046331223825665,0.4046717958672838,0.3413362883543431,0.4103086880608906,0.34646603006692833,0.37229815172330133,0.3800455063648248,0.13014550162524832,0.3413362883543431,0.2533463128010095
fold50,0.3016448803343302,0.08611059725862615,0.2987507332038006,0.2828191603693787,0.2669770633673328,0.2897850515172615,0.38975102088426195,0.08611059725862615,0.3150259326661933,0.366516556396816,0.32313730331283486,0.25850392653398807,0.39707798663096117,0.33568048642578185,0.2987507332038006,0.366516556396816,0.19729061864244868,0.3055277651565471,0.37983260414638176,-0.08351496865248384,0.36827142412240016,0.2828191603693787,0.32313730331283486,0.3055277651565471,0.22299417555669765,0.35284519304898526,0.30440843251364946,0.2964369370339789,0.2669770633673328,0.25850392653398807,0.37983260414638176,0.35284519304898526,0.39699577869736885,0.3548793078205391,0.3477476463438801,0.2897850515172615,0.39707798663096117,-0.08351496865248384,0.30440843251364946,0.3548793078205391,0.2732792001427451,0.3291183865066597,0.38975102088426195,0.33568048642578185,0.36827142412240016,0.2964369370339789,0.3477476463438801,0.3291183865066597,0.26393009164997017
fold51,-0.036552576349759655,0.0005277895730779375,0.05322268758382352,0.006732612237866719,-0.12305033285217723,0.016896374745369546,0.10352907061854505,0.0005277895730779375,0.285210310673954,0.32092586253189875,0.2587925907479535,0.21892746300740426,0.2747876668470049,0.25922034846690306,0.05322268758382352,0.32092586253189875,0.19634055011129517,0.1872256491965484,0.06789614236649141,-0.02527908597842628,0.17452147608359825,0.006732612237866719,0.2587925907479535,0.1872256491965484,0.15897480751082224,0.22394601033309622,0.14805839168390275,0.22091611414211834,-0.12305033285217723,0.21892746300740426,0.06789614236649141,0.22394601033309622,0.22270556034660227,-0.02120045526922729,0.11537372296178251,0.016896374745369546,0.2747876668470049,-0.02527908597842628,0.14805839168390275,-0.02120045526922729,0.010040342621761672,0.16308238741577735,0.10352907061854505,0.25922034846690306,0.17452147608359825,0.22091611414211834,0.11537372296178251,0.16308238741577735,0.2183635585573272
fold52,0.1801933584433643,0.01563684708421483,0.27744515034320666,0.13332454277681688,0.035100953680540045,0.23241258958100589,0.24441388878284123,0.01563684708421483,0.09987071826787447,0.23265641980885324,0.20215951657602121,-0.015502471973170874,0.15206982675844502,0.10630383524369996,0.27744515034320666,0.23265641980885324,0.21446108946726322,0.09635312974660475,0.06311608133018007,0.1388440003209271,0.17640270888126863,0.13332454277681688,0.20215951657602121,0.09635312974660475,0.2588535055644609,0.14924090870086762,0.10885605958618934,0.1509564208168864,0.035100953680540045,-0.015502471973170874,0.06311608133018007,0.14924090870086762,0.2732665836383162,0.02004006858002228,0.20028728698978063,0.23241258958100589,0.15206982675844502,0.1388440003209271,0.10885605958618934,0.02004006858002228,0.13917088413340717,0.1797804102065308,0.24441388878284123,0.10630383524369996,0.17640270888126863,0.1509564208168864,0.20028728698978063,0.1797804102065308,0.25397934328007754
fold53,0.3374855408978826,0.10507993756624598,0.06921352358431995,0.06781763568587529,0.27403738109292747,0.14478239504489981,0.28248848891853817,0.10507993756624598,0.23418533848929274,0.1994668039615097,0.16523943043521336,0.07770370673770202,0.23988192027851202,0.2524749898626368,0.06921352358431995,0.1994668039615097,0.06537123608084079,0.21062830092230375,0.16035807862832777,0.3085009789029787,0.31063095192951024,0.06781763568587529,0.16523943043521336,0.21062830092230375,0.2585531803192366,0.11142096449258762,0.3334942985570075,0.3096187291953667,0.27403738109292747,0.07770370673770202,0.16035807862832777,0.11142096449258762,0.3093015058730177,0.17943667999054688,0.08043474356837124,0.14478239504489981,0.23988192027851202,0.3085009789029787,0.3334942985570075,0.17943667999054688,0.29572874890877765,0.2733835368559195,0.28248848891853817,0.2524749898626368,0.31063095192951024,0.3096187291953667,0.08043474356837124,0.2733835368559195,0.3809278808530994
fold54,-0.21858427449837625,0.22864061251273693,0.3746105882865155,0.3222080154632341,0.04993875184067115,0.25611081825820525,0.35281997923503516,0.22864061251273693,-0.01230839936634392,0.13969923173739462,0.04963153584211205,0.15026017328329486,0.11310007555484695,0.3047736325653288,0.3746105882865155,0.13969923173739462,0.19124594045575954,0.15003360155826964,0.1801216184692767,0.1635108353891326,0.21691503878599247,0.3222080154632341,0.04963153584211205,0.15003360155826964,0.10637484859688347,0.2985336030160421,0.13943012586276463,0.23762155648612593,0.04993875184067115,0.15026017328329486,0.1801216184692767,0.2985336030160421,0.3750059017538426,0.30614154777471786,0.3680522441399321,0.25611081825820525,0.11310007555484695,0.1635108353891326,0.13943012586276463,0.30614154777471786,0.13551692445568664,0.19562079015123873,0.35281997923503516,0.3047736325653288,0.21691503878599247,0.23762155648612593,0.3680522441399321,0.19562079015123873,0.17110776090723714
fold55,0.16504673159684527,-0.07577317360440897,0.17309629290856188,0.12311330348221451,0.015172081129053161,0.130447339359855,0.22866663044097563,-0.07577317360440897,0.18345890643150248,0.17750297421945713,0.15045363359134806,-0.056494587480913225,0.047274446559851434,0.2761724771897657,0.17309629290856188,0.17750297421945713,0.26197351561669613,0.19764538243528357,-0.05986216589547534,0.22645022933669381,0.1993547049272272,0.12311330348221451,0.15045363359134806,0.19764538243528357,0.10656951941577868,0.1090547313586221,0.16023775811609095,0.20777484923910522,0.015172081129053161,-0.056494587480913225,-0.05986216589547534,0.1090547313586221,0.27672296914157796,-0.025000872721407916,0.018267654162581595,0.130447339359855,0.047274446559851434,0.22645022933669381,0.16023775811609095,-0.025000872721407916,0.17033907272233492,0.12666216391968865,0.22866663044097563,0.2761724771897657,0.1993547049272272,0.20777484923910522,0.018267654162581595,0.12666216391968865,0.24818262476156971
fold56,0.12322042614319804,0.1523719179908715,0.23334399505406686,0.2986223643861826,0.20263617569305423,0.3360390973409395,0.2543881994426099,0.1523719179908715,0.16117732347951097,0.115527873181641,0.17816755998111325,0.10019662194194191,0.16334091677337537,0.13193063917088924,0.23334399505406686,0.115527873181641,-0.0626016420436436,0.20150564949140376,0.22473107783009247,0.06416276104737241,0.15268389909687569,0.2986223643861826,0.17816755998111325,0.20150564949140376,0.1738503076574164,0.19675188037735347,0.16753736680752554,0.18260752945517994,0.20263617569305423,0.10019662194194191,0.22473107783009247,0.19675188037735347,0.33722960926774237,0.27558318423084993,0.2200738430035155,0.3360390973409395,0.16334091677337537,0.06416276104737241,0.16753736680752554,0.27558318423084993,0.19803592481477336,0.22546175241488634,0.2543881994426099,0.13193063917088924,0.15268389909687569,0.18260752945517994,0.2200738430035155,0.22546175241488634,0.12658224990506306
fold57,0.1561302370825478,0.28050828299923014,0.23376842400805084,0.3139156598304847,0.29795760366295493,0.36616590374876995,0.414504137410122,0.28050828299923014,0.03672841892217584,0.10585273686645663,0.11631026498186084,0.17256122014372072,-0.0969532259951599,0.11969556132338403,0.23376842400805084,0.10585273686645663,0.28385665565617507,0.14844419063206554,0.1199880674275592,0.20652631453649525,0.32761981826379216,0.3139156598304847,0.11631026498186084,0.14844419063206554,0.26081131743437586,0.19818038833105828,0.20251201240932312,0.14916080123662184,0.29795760366295493,0.17256122014372072,0.1199880674275592,0.19818038833105828,0.3552470404432915,0.060235759655896164,0.21923199314876335,0.36616590374876995,-0.0969532259951599,0.20652631453649525,0.20251201240932312,0.060235759655896164,0.22148163294882026,0.21032399298763602,0.414504137410122,0.11969556132338403,0.32761981826379216,0.14916080123662184,0.21923199314876335,0.21032399298763602,0.3531528850198446
fold58,0.35647569747052954,0.2685688705101244,0.3620642579323438,0.3632639615165852,0.3592309281231453,0.25877032274814477,0.32732107812861927,0.2685688705101244,0.2030183785462544,0.19460252630195804,0.19431513492670843,0.3056252539256967,0.09783783909802454,0.11224914705385274,0.3620642579323438,0.19460252630195804,0.24072176099167344,0.05702491405863441,0.22776293976123643,0.26438612572164816,0.29824976894285027,0.3632639615165852,0.19431513492670843,0.05702491405863441,0.014874077237605117,0.3025013576584202,0.06948145674347046,0.03698634184156559,0.3592309281231453,0.3056252539256967,0.22776293976123643,0.3025013576584202,0.3302337074119688,0.18947681608856518,-0.031684019518349496,0.25877032274814477,0.09783783909802454,0.26438612572164816,0.06948145674347046,0.18947681608856518,0.21672187099425583,0.3289013438107199,0.32732107812861927,0.11224914705385274,0.29824976894285027,0.03698634184156559,-0.031684019518349496,0.3289013438107199,0.3029979748988423
fold59,0.08354474050061078,0.38477627653099794,0.31093937996058185,0.38334565342498833,-0.018911042509973636,0.4866929016595717,0.4103086880608906,0.38477627653099794,0.38045339587179033,0.40575416815198856,0.3219750432494147,0.2919326320408884,0.3463412748159443,0.34646603006692833,0.31093937996058185,0.40575416815198856,0.4384878535758252,0.4561260037956846,0.25055226614144277,0.4343874568821089,0.37229815172330133,0.38334565342498833,0.3219750432494147,0.4561260037956846,0.35184718181764024,0.39371355646442974,0.4413170358158218,0.3800455063648248,-0.018911042509973636,0.2919326320408884,0.25055226614144277,0.39371355646442974,0.5356702850593539,0.27046331223825665,0.13014550162524832,0.4866929016595717,0.3463412748159443,0.4343874568821089,0.4413170358158218,0.27046331223825665,0.4046717958672838,0.3413362883543431,0.4103086880608906,0.34646603006692833,0.37229815172330133,0.3800455063648248,0.13014550162524832,0.3413362883543431,0.2533463128010095
